"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",13,13,13,13,13,13,13,13,13,13,13,13,13
"2",19,15,21,26,22,1,24,3,8,10,6,12,17
"3",7,11,5,0,4,25,2,23,18,16,20,14,9
"4",15,22,24,6,16,9,25,18,0,12,19,21,3
"5",21,24,8,10,25,6,0,11,22,9,12,23,7
"6",0,20,16,23,7,21,14,1,17,15,8,22,2
"7",11,4,2,20,10,17,1,8,26,14,7,5,23
"8",26,6,10,3,19,5,12,25,9,11,18,4,24
"9",5,2,18,16,1,20,26,15,4,17,14,3,19
"10",22,16,25,19,14,23,17,26,20,21,15,24,18
"11",1,9,6,5,23,11,19,16,12,18,2,26,22
"12",16,14,17,15,5,8,3,6,7,24,22,25,26
"13",24,25,0,12,17,19,20,4,16,23,21,8,11
"14",3,18,11,25,26,16,4,21,2,20,17,7,12
"15",9,23,19,2,8,4,15,14,21,26,1,6,16
"16",20,7,14,8,11,24,5,9,3,22,0,16,1
"17",8,0,22,9,20,12,16,2,25,19,23,15,5
"18",14,5,3,22,2,0,18,19,11,25,16,17,6
"19",4,10,1,7,12,3,9,0,6,5,11,2,8
"20",10,12,9,11,21,18,23,20,19,2,4,1,0
"21",25,17,20,21,3,15,7,10,14,8,24,0,4
"22",6,19,12,18,15,2,21,17,23,4,26,10,25
"23",12,21,23,4,24,26,8,7,15,1,10,9,20
"24",18,26,4,17,6,14,10,24,1,7,3,11,21
"25",2,1,26,14,9,7,6,22,10,3,5,18,15
"26",17,3,7,24,18,22,11,12,5,0,25,20,10
"27",23,8,15,1,0,10,22,5,24,6,9,19,14
